"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_notadjustingforgift","bundle_add_on","price_ref_rel","price_ref_rel_notadjustingforgift","num_of_acc_rel","num_of_acc","premium","premium_notadjustingforgift","premium_percent_notadjustingforgift","ind_firstbundle_noacc"
"1",16831203027,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,0,0,0,0,0,0,TRUE
"2",16831203027,1,14,12,2,2,3,3,0,4,2960,172,332,210,172,332,14,2,38,-122,-0.0412162162162162,TRUE
"3",16831203027,2,14,12,2,2,3,3,0,4,2990,185,345,240,185,345,14,2,55,-105,-0.0351170568561873,TRUE
"4",16831203027,3,15,13,2,2,3,3,0,4,3042,180,355,292,180,355,15,2,112,-63,-0.0207100591715976,TRUE
"5",16831203027,4,20,18,3,3,5,5,0,5,3070,263,563,320,263,563,20,3,57,-243,-0.0791530944625407,TRUE
"6",16831203027,5,21,19,3,3,5,5,0,5,3110,258,573,360,258,573,21,3,102,-213,-0.0684887459807074,TRUE
"7",16831203027,6,23,21,3,3,6,6,0,6,3150,285,630,400,285,630,23,3,115,-230,-0.073015873015873,TRUE
"8",16831203027,7,23,21,3,3,6,6,0,6,3220,280,625,470,280,625,23,3,190,-155,-0.0481366459627329,TRUE
"9",16831203027,8,23,21,3,3,6,6,0,6,3310,300,645,560,300,645,23,3,260,-85,-0.0256797583081571,TRUE
"10",18053093587,0,0,0,0,0,0,0,0,0,3280,0,0,0,0,0,0,0,0,0,0,TRUE
"11",18053093587,1,9,9,4,4,2,2,0,0,3478,375,425,198,375,425,9,4,-177,-227,-0.0652673950546291,TRUE
"12",18053093587,2,9,9,4,4,2,2,0,0,3548,525,575,268,525,575,9,4,-257,-307,-0.0865276211950395,TRUE
"13",18053093587,3,11,10,4,4,2,2,0,1,3638,500,590,358,500,590,11,4,-142,-232,-0.0637713029136888,TRUE
"14",18053093587,4,11,10,4,4,2,2,0,1,3708,520,610,428,520,610,11,4,-92,-182,-0.0490830636461704,TRUE
"15",18053093587,5,14,13,6,6,5,5,0,1,3808,880,990,528,880,990,14,6,-352,-462,-0.121323529411765,TRUE
"16",18053093587,6,14,13,6,6,5,5,0,1,3868,900,1010,588,900,1010,14,6,-312,-422,-0.109100310237849,TRUE
"17",18053093587,7,14,13,6,6,5,5,0,1,4088,920,1030,808,920,1030,14,6,-112,-222,-0.0543052837573385,TRUE
"18",18352298789,0,0,0,0,0,0,0,0,0,3450,0,0,0,0,0,0,0,0,0,0,TRUE
"19",18352298789,1,5,5,3,3,1,1,0,0,3620,250,300,170,250,300,5,3,-80,-130,-0.0359116022099447,TRUE
"20",18352298789,2,7,7,5,5,1,1,0,0,3800,335,385,350,335,385,7,5,15,-35,-0.00921052631578947,TRUE
"21",18352298789,3,8,8,6,6,1,1,0,0,3840,350,400,390,350,400,8,6,40,-10,-0.00260416666666667,TRUE
"22",18352298789,4,9,9,6,6,3,3,0,0,4090,380,450,640,380,450,9,6,260,190,0.0464547677261614,TRUE
"23",18352298789,5,9,9,6,6,2,2,0,0,3900,450,520,450,450,520,9,6,0,-70,-0.0179487179487179,TRUE
"24",18352298789,6,9,9,6,6,3,3,0,0,4150,430,500,700,430,500,9,6,270,200,0.0481927710843374,TRUE
"25",18352298789,7,10,10,7,7,3,3,0,0,4100,600,670,650,600,670,10,7,50,-20,-0.0048780487804878,TRUE
"26",18352298789,8,11,11,8,8,3,3,0,0,4300,630,700,850,630,700,11,8,220,150,0.0348837209302326,TRUE
"27",18820622609,0,0,0,0,0,0,0,0,0,3450,0,0,0,0,0,0,0,0,0,0,TRUE
"28",18820622609,1,8,8,3,3,4,4,0,0,3900,160,205,450,160,205,8,3,290,245,0.0628205128205128,TRUE
"29",18820622609,2,9,9,4,4,5,5,0,0,4100,280,325,650,280,325,9,4,370,325,0.0792682926829268,TRUE
"30",18820622609,3,9,9,4,4,5,5,0,0,4200,510,555,750,510,555,9,4,240,195,0.0464285714285714,TRUE
"31",18999829018,0,0,0,0,0,0,0,0,0,2840,0,0,0,0,0,0,0,0,0,0,TRUE
"32",18999829018,1,9,9,7,7,9,9,0,1,3180,250,300,340,250,300,9,7,90,40,0.0125786163522013,TRUE
"33",18999829018,2,9,9,7,7,9,9,0,1,3230,290,340,390,290,340,9,7,100,50,0.0154798761609907,TRUE
"34",18999829018,3,9,9,7,7,9,9,0,1,3260,320,370,420,320,370,9,7,100,50,0.0153374233128834,TRUE
"35",18999829018,4,10,10,8,8,10,10,0,1,3260,350,400,420,350,400,10,8,70,20,0.00613496932515337,TRUE
"36",18999829018,5,10,10,8,8,10,10,0,1,3350,390,440,510,390,440,10,8,120,70,0.0208955223880597,TRUE
"37",18999829018,6,10,10,8,8,10,10,0,1,3560,420,470,720,420,470,10,8,300,250,0.0702247191011236,TRUE
"38",18999829018,7,12,12,9,9,12,12,0,1,3510,520,615,670,520,615,12,9,150,55,0.0156695156695157,TRUE
"39",18999829018,8,12,12,9,9,12,12,0,1,3610,640,735,770,640,735,12,9,130,35,0.00969529085872576,TRUE
"40",19999809846,0,1,0,0,0,0,0,0,1,2850,0,0,0,0,0,0,0,0,0,0,FALSE
"41",19999809846,1,21,19,7,7,5,5,0,5,3080,190,408,230,190,408,20,7,40,-178,-0.0577922077922078,FALSE
"42",19999809846,2,21,19,7,7,5,5,0,5,3120,185,403,270,185,403,20,7,85,-133,-0.0426282051282051,FALSE
"43",19999809846,3,23,21,9,9,5,5,0,5,3190,385,603,340,385,603,22,9,-45,-263,-0.0824451410658307,FALSE
"44",19999809846,4,26,24,10,10,6,6,0,5,3250,450,788,400,450,788,25,10,-50,-388,-0.119384615384615,FALSE
"45",19999809846,5,27,25,10,10,6,6,0,5,3290,445,838,440,445,838,26,10,-5,-398,-0.1209726443769,FALSE
"46",19999809846,6,28,26,10,10,7,7,0,5,3350,465,868,500,465,868,27,10,35,-368,-0.109850746268657,FALSE
"47",19999809846,7,29,27,10,10,8,8,0,5,3400,460,878,550,460,878,28,10,90,-328,-0.0964705882352941,FALSE
"48",19999809846,8,29,27,0,0,8,8,0,5,3470,0,898,620,0,898,28,0,620,-278,-0.0801152737752161,FALSE
"49",20167630571,0,0,0,0,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,TRUE
"50",20167630571,1,12,12,12,12,2,2,0,0,3010,348,348,230,348,348,12,12,-118,-118,-0.039202657807309,TRUE
"51",20167630571,2,14,14,14,14,4,4,0,0,3080,428,428,300,428,428,14,14,-128,-128,-0.0415584415584416,TRUE
"52",20167630571,3,14,14,14,14,4,4,0,0,3120,423,423,340,423,423,14,14,-83,-83,-0.0266025641025641,TRUE
"53",20167630571,4,14,14,14,14,4,4,0,0,3190,458,458,410,458,458,14,14,-48,-48,-0.0150470219435737,TRUE
"54",20167630571,5,16,16,16,16,4,4,0,0,3450,523,523,670,523,523,16,16,147,147,0.0426086956521739,TRUE
"55",20186366493,0,0,0,0,0,0,0,0,0,3110,0,0,0,0,0,0,0,0,0,0,TRUE
"56",20186366493,1,16,14,9,7,1,1,0,2,5080,205,440,1970,205,440,16,9,1765,1530,0.301181102362205,TRUE
"57",20186366493,2,17,15,10,8,1,1,0,2,5120,260,495,2010,260,495,17,10,1750,1515,0.2958984375,TRUE
"58",20186366493,3,17,15,10,8,1,1,0,2,5150,265,500,2040,265,500,17,10,1775,1540,0.299029126213592,TRUE
"59",20186366493,4,17,15,10,8,1,1,0,2,5190,265,500,2080,265,500,17,10,1815,1580,0.304431599229287,TRUE
"60",20186366493,5,18,16,11,9,1,1,0,2,5240,320,555,2130,320,555,18,11,1810,1575,0.300572519083969,TRUE
"61",20186366493,6,18,16,11,9,1,1,0,2,5270,325,560,2160,325,560,18,11,1835,1600,0.303605313092979,TRUE
"62",20186366493,7,18,16,11,9,1,1,0,2,5350,335,570,2240,335,570,18,11,1905,1670,0.31214953271028,TRUE
"63",20186366493,8,18,16,11,9,1,1,0,2,5380,340,575,2270,340,575,18,11,1930,1695,0.315055762081784,TRUE
"64",20373091017,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0,0,TRUE
"65",20373091017,1,9,9,2,2,0,0,0,0,3110,65,235,160,65,235,9,2,95,-75,-0.0241157556270096,TRUE
"66",20373091017,2,9,9,2,2,0,0,0,0,3130,65,250,180,65,250,9,2,115,-70,-0.0223642172523962,TRUE
"67",20373091017,3,9,9,2,2,0,0,0,0,3130,65,285,180,65,285,9,2,115,-105,-0.0335463258785942,TRUE
"68",20728727154,0,0,0,0,0,0,0,0,0,3358,0,0,0,0,0,0,0,0,0,0,TRUE
"69",20728727154,1,11,11,6,6,2,2,0,0,3538,360,445,180,360,445,11,6,-180,-265,-0.0749010740531374,TRUE
"70",20728727154,2,13,13,8,8,3,3,0,0,3658,530,615,300,530,615,13,8,-230,-315,-0.0861126298523783,TRUE
"71",20728727154,3,13,13,8,8,3,3,0,0,3768,705,790,410,705,790,13,8,-295,-380,-0.100849256900212,TRUE
"72",20728727154,4,14,14,8,8,3,3,0,0,3958,620,835,600,620,835,14,8,-20,-235,-0.0593734209196564,TRUE
"73",20728727154,5,14,14,8,8,4,4,0,1,4088,745,960,730,745,960,14,8,-15,-230,-0.0562622309197652,TRUE
"74",20728727154,6,14,14,8,8,5,5,0,0,4188,705,920,830,705,920,14,8,125,-90,-0.0214899713467049,TRUE
"75",20728727154,7,14,14,8,8,5,5,0,0,4358,705,920,1000,705,920,14,8,295,80,0.018357044515833,TRUE
"76",20728727154,8,16,16,10,10,5,5,0,0,4500,845,1060,1142,845,1060,16,10,297,82,0.0182222222222222,TRUE
"77",23896264169,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,0,0,0,0,0,0,TRUE
"78",23896264169,1,9,8,3,3,6,6,0,1,3350,345,395,200,345,395,9,3,-145,-195,-0.0582089552238806,TRUE
"79",23896264169,2,11,10,4,4,9,9,0,1,3450,410,560,300,410,560,11,4,-110,-260,-0.0753623188405797,TRUE
"80",23896264169,3,10,9,3,3,8,8,0,1,3450,365,515,300,365,515,10,3,-65,-215,-0.0623188405797101,TRUE
"81",23896264169,4,12,11,4,4,10,10,0,1,3550,465,635,400,465,635,12,4,-65,-235,-0.0661971830985915,TRUE
"82",23896264169,5,13,12,5,5,11,11,0,1,3650,450,620,500,450,620,13,5,50,-120,-0.0328767123287671,TRUE
"83",23896264169,6,13,12,5,5,11,11,0,1,3800,730,900,650,730,900,13,5,-80,-250,-0.0657894736842105,TRUE
"84",23896264169,7,13,12,5,5,11,11,0,1,3920,788,958,770,788,958,13,5,-18,-188,-0.0479591836734694,TRUE
"85",23896264169,8,13,12,6,6,11,11,0,1,4050,988,1058,900,988,1058,13,6,-88,-158,-0.0390123456790123,TRUE
"86",23924620234,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,TRUE
"87",23924620234,1,23,23,9,9,5,5,0,0,3500,260,520,100,260,520,23,9,-160,-420,-0.12,TRUE
"88",23924620234,2,32,32,18,18,8,8,0,0,3540,910,1170,140,910,1170,32,18,-770,-1030,-0.290960451977401,TRUE
"89",23924620234,3,34,34,20,20,10,10,0,0,3580,1050,1310,180,1050,1310,34,20,-870,-1130,-0.315642458100559,TRUE
"90",23924620234,4,40,40,23,23,16,16,0,0,3680,1283,1643,280,1283,1643,40,23,-1003,-1363,-0.370380434782609,TRUE
"91",23924620234,5,40,40,23,23,16,16,0,0,3720,1303,1663,320,1303,1663,40,23,-983,-1343,-0.361021505376344,TRUE
"92",23924620234,6,40,40,23,23,16,16,0,0,3760,1373,1733,360,1373,1733,40,23,-1013,-1373,-0.365159574468085,TRUE
"93",23969324559,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,TRUE
"94",23969324559,1,13,13,9,9,5,5,0,0,3100,260,365,275,260,365,13,9,15,-90,-0.0290322580645161,TRUE
"95",23969324559,2,16,16,12,12,5,5,0,0,3160,540,645,335,540,645,16,12,-205,-310,-0.0981012658227848,TRUE
"96",23969324559,3,18,18,14,14,7,7,0,0,3180,610,715,355,610,715,18,14,-255,-360,-0.113207547169811,TRUE
"97",23969324559,4,20,20,15,15,9,9,0,0,3240,758,893,415,758,893,20,15,-343,-478,-0.147530864197531,TRUE
"98",23969324559,5,20,20,15,15,9,9,0,0,3330,783,918,505,783,918,20,15,-278,-413,-0.124024024024024,TRUE
"99",23969324559,6,20,20,15,15,9,9,0,0,3330,783,918,505,783,918,20,15,-278,-413,-0.124024024024024,TRUE
"100",23969324559,7,20,20,15,15,9,9,0,0,3390,783,918,565,783,918,20,15,-218,-353,-0.104129793510324,TRUE
"101",23969324559,8,20,20,15,15,9,9,0,0,3480,783,918,655,783,918,20,15,-128,-263,-0.0755747126436782,TRUE
"102",24291960195,0,0,0,0,0,0,0,0,0,4099,0,0,0,0,0,0,0,0,0,0,TRUE
"103",24291960195,1,4,4,4,4,4,4,0,0,5030,112,112,931,112,112,4,4,819,819,0.162823061630219,TRUE
"104",24291960195,2,5,5,5,5,5,5,0,0,5130,158,158,1031,158,158,5,5,873,873,0.170175438596491,TRUE
"105",24291960195,3,7,7,7,7,6,6,0,0,5250,268,268,1151,268,268,7,7,883,883,0.168190476190476,TRUE
"106",24291960195,4,7,7,7,7,6,6,0,0,5470,288,288,1371,288,288,7,7,1083,1083,0.197989031078611,TRUE
"107",24291960195,5,7,7,7,7,6,6,0,0,5450,498,498,1351,498,498,7,7,853,853,0.15651376146789,TRUE
"108",24291960195,6,7,7,7,7,6,6,0,0,5510,520,520,1411,520,520,7,7,891,891,0.161705989110708,TRUE
"109",24291960195,7,7,7,7,7,6,6,0,0,5730,540,540,1631,540,540,7,7,1091,1091,0.190401396160558,TRUE
"110",24319152517,0,0,0,0,0,0,0,0,0,3348,0,0,0,0,0,0,0,0,0,0,TRUE
"111",24319152517,1,5,5,5,5,0,0,0,0,3598,280,280,250,280,280,5,5,-30,-30,-0.00833796553640912,TRUE
"112",24319152517,2,7,7,7,7,0,0,0,0,3798,325,325,450,325,325,7,7,125,125,0.0329120589784097,TRUE
"113",24319152517,3,11,11,11,11,0,0,0,0,4098,908,908,750,908,908,11,11,-158,-158,-0.038555392874573,TRUE
"114",24319152517,4,11,11,11,11,0,0,0,0,4298,808,808,950,808,808,11,11,142,142,0.0330386226151698,TRUE
"115",24319152517,5,12,12,12,12,0,0,0,0,4598,963,963,1250,963,963,12,12,287,287,0.0624184428012179,TRUE
"116",24596036343,0,0,0,0,0,0,0,0,0,3049,0,0,0,0,0,0,0,0,0,0,TRUE
"117",24596036343,1,10,10,5,5,4,4,0,0,3259,165,260,210,165,260,10,5,45,-50,-0.0153421294875729,TRUE
"118",24596036343,2,12,12,7,7,6,6,0,0,3319,245,340,270,245,340,12,7,25,-70,-0.0210906899668575,TRUE
"119",24596036343,3,13,13,8,8,7,7,0,0,3479,285,380,430,285,380,13,8,145,50,0.0143719459614832,TRUE
"120",24596036343,4,14,14,9,9,7,7,0,1,3599,345,440,550,345,440,14,9,205,110,0.0305640455682134,TRUE
"121",24596036343,5,14,14,9,9,7,7,0,2,3799,220,315,750,220,315,14,9,530,435,0.114503816793893,TRUE
"122",24596036343,6,15,15,10,10,8,8,0,2,4049,400,495,1000,400,495,15,10,600,505,0.124722153618177,TRUE
"123",24596036343,7,16,16,11,11,9,9,0,0,3839,610,705,790,610,705,16,11,180,85,0.0221411825996353,TRUE
"124",24596036343,8,17,17,12,12,9,9,0,2,4149,570,665,1100,570,665,17,12,530,435,0.104844540853218,TRUE
"125",25673844634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"126",25673844634,1,11,10,6,5,3,2,0,2,0,240,295,0,240,295,11,6,-240,-295,-Inf,TRUE
"127",25673844634,2,17,15,6,5,3,2,0,3,0,235,420,0,235,420,17,6,-235,-420,-Inf,TRUE
"128",25673844634,3,17,15,6,5,3,2,0,3,0,255,440,0,255,440,17,6,-255,-440,-Inf,TRUE
"129",25673844634,4,17,15,6,5,3,2,0,3,0,405,590,0,405,590,17,6,-405,-590,-Inf,TRUE
"130",26519380192,0,0,0,0,0,0,0,0,0,3260,0,0,0,0,0,0,0,0,0,0,TRUE
"131",26519380192,1,14,14,7,7,8,8,0,2,3490,160,238,230,160,238,14,7,70,-8,-0.00229226361031519,TRUE
"132",26519380192,2,15,15,8,8,9,9,0,2,3600,190,268,340,190,268,15,8,150,72,0.02,TRUE
"133",26519380192,3,15,15,8,8,9,9,0,1,3710,330,408,450,330,408,15,8,120,42,0.0113207547169811,TRUE
"134",26519380192,4,15,15,8,8,9,9,0,1,3820,330,408,560,330,408,15,8,230,152,0.0397905759162304,TRUE
"135",26519380192,5,17,17,10,10,10,10,0,1,3930,540,618,670,540,618,17,10,130,52,0.0132315521628499,TRUE
"136",26519380192,6,17,17,10,10,10,10,0,1,4140,810,888,880,810,888,17,10,70,-8,-0.00193236714975845,TRUE
"137",26519380192,7,17,17,10,10,10,10,0,1,4640,940,1018,1380,940,1018,17,10,440,362,0.0780172413793103,TRUE
"138",27462844289,0,1,1,0,0,0,0,0,1,3060,0,0,0,0,0,0,0,0,0,0,FALSE
"139",27462844289,1,12,12,4,4,6,6,0,1,3220,305,516,160,305,516,11,4,-145,-356,-0.11055900621118,FALSE
"140",27462844289,2,12,12,4,4,6,6,0,1,3260,295,506,200,295,506,11,4,-95,-306,-0.0938650306748466,FALSE
"141",27462844289,3,13,13,5,5,7,7,0,1,3460,400,611,400,400,611,12,5,0,-211,-0.0609826589595376,FALSE
"142",27462844289,4,13,13,5,5,7,7,0,1,3540,420,631,480,420,631,12,5,60,-151,-0.0426553672316384,FALSE
"143",27462844289,5,15,15,7,7,9,9,0,1,3960,640,851,900,640,851,14,7,260,49,0.0123737373737374,FALSE
"144",27462844289,6,15,15,7,7,9,9,0,1,4040,660,871,980,660,871,14,7,320,109,0.026980198019802,FALSE
"145",35540978058,0,1,1,0,0,0,0,0,0,2998,0,30,0,0,0,0,0,0,0,0,FALSE
"146",35540978058,1,9,9,3,3,2,2,0,0,3128,135,355,130,135,325,8,3,-5,-195,-0.0623401534526854,FALSE
"147",35540978058,2,11,11,5,5,4,4,0,0,3338,410,630,340,410,600,10,5,-70,-260,-0.0778909526662672,FALSE
"148",35540978058,3,12,12,6,6,5,5,0,1,3448,410,630,450,410,600,11,6,40,-150,-0.0435034802784223,FALSE
"149",35540978058,4,12,12,6,6,5,5,0,1,3598,402,622,600,402,592,11,6,198,8,0.00222345747637576,FALSE
"150",35540978058,5,12,12,6,6,5,5,0,0,3798,627,847,800,627,817,11,6,173,-17,-0.00447604002106372,FALSE
"151",35557065616,0,0,0,0,0,0,0,0,0,3280,0,0,0,0,0,0,0,0,0,0,TRUE
"152",35674260254,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,0,0,0,TRUE
"153",35674260254,1,13,13,11,11,2,2,0,0,2900,340,450,190,340,450,13,11,-150,-260,-0.0896551724137931,TRUE
"154",35674260254,2,13,13,11,11,2,2,0,0,2930,353,463,220,353,463,13,11,-133,-243,-0.0829351535836177,TRUE
"155",35674260254,3,13,13,11,11,2,2,0,0,2970,348,458,260,348,458,13,11,-88,-198,-0.0666666666666667,TRUE
"156",35674260254,4,13,13,11,11,2,2,0,0,3050,368,478,340,368,478,13,11,-28,-138,-0.0452459016393443,TRUE
"157",35674260254,5,14,14,12,12,2,2,0,0,3090,428,538,380,428,538,14,12,-48,-158,-0.0511326860841424,TRUE
"158",35674260254,6,14,14,12,12,2,2,0,0,3170,423,533,460,423,533,14,12,37,-73,-0.0230283911671924,TRUE
"159",35674260254,7,14,14,12,12,2,2,0,0,3210,443,553,500,443,553,14,12,57,-53,-0.0165109034267913,TRUE
"160",35674260254,8,17,17,12,12,2,2,0,0,3250,443,663,540,443,663,17,12,97,-123,-0.0378461538461538,TRUE
"161",36513357018,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0,0,TRUE
"162",36513357018,1,1,1,1,1,1,1,0,0,2500,110,110,-450,110,110,1,1,-560,-560,-0.224,TRUE
"163",36513357018,2,12,12,12,12,3,3,0,0,3100,442,442,150,442,442,12,12,-292,-292,-0.0941935483870968,TRUE
"164",36513357018,3,13,13,13,13,4,4,0,0,3200,755,755,250,755,755,13,13,-505,-505,-0.1578125,TRUE
"165",36513357018,4,13,13,13,13,4,4,0,0,3250,750,750,300,750,750,13,13,-450,-450,-0.138461538461538,TRUE
"166",36513357018,5,13,13,13,13,4,4,0,0,3300,770,770,350,770,770,13,13,-420,-420,-0.127272727272727,TRUE
"167",36574928690,0,0,0,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0,0,TRUE
"168",36574928690,1,12,12,12,12,2,2,0,0,2960,230,230,100,230,230,12,12,-130,-130,-0.0439189189189189,TRUE
"169",36574928690,2,16,16,16,16,2,2,0,0,3040,490,490,180,490,490,16,16,-310,-310,-0.101973684210526,TRUE
